Rank,Tot. Test Time,Time / Sample,Score,Vector Length,target_cspace,Orient Bins,Pix / Cell,Cell / Block,HOG Channle,Spatial Bins,Hist. Channels,Hist. Bins,spatial_feat,hist_feat,hog_feat
1,15.0,1.69E-03,0.9815,1968,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",256,True,True,True
2,15.1,1.70E-03,0.9815,1968,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",256,True,True,True
3,14.8,1.67E-03,0.9815,1968,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",256,True,True,True
4,16.3,1.83E-03,0.9815,1968,BGR,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",256,True,True,True
5,15.8,1.78E-03,0.9815,1968,LAB,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",256,True,True,True
6,12.9,1.45E-03,0.9808,1788,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",196,True,True,True
7,13.0,1.46E-03,0.9808,1788,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",196,True,True,True
8,12.7,1.43E-03,0.9808,1788,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",196,True,True,True
9,14.0,1.57E-03,0.9808,1788,BGR,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",196,True,True,True
10,13.8,1.55E-03,0.9808,1788,LAB,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",196,True,True,True
,,,,,,,,,,,,,,,
,Train samples,8880,,,,,,,,,,,,,
,Test Samples,8880,,,,,,,,,,,,,
,HOG Pixels,"16,16",,,,,,,,,,,,,
,HOG Cell/Block,"4,4",,,,,,,,,,,,,
,HOG Channel,"0, 1, 2",,,,,,,,,,,,,
,Spatial Bin,"16,16",,,,,,,,,,,,,
,Hist Channels,"0, 1, 2",,,,,,,,,,,,,
,Hist Bins,"256, 196",,,,,,,,,,,,,
,"svc = SVC(kernel='linear', C=50)",,,,,,,,,,,,,,
